IDfg,Name,Team,G,W,L,QS,CG,ShO,SV,HLD,BS,IP,H_pitch,ER,HR_pitch,BB_pitch,HBP_pitch,SO_pitch,AB,H_hit,1B,2B,3B,HR_hit,R,RBI,BB_hit,SO_hit,HBP_hit,SF,SH,SB,CS
10603,Chris Sale,ATL,29,18,3,18,0,0,0,0,0,177.2,141,47,9,39,8,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22267,Tarik Skubal,DET,31,18,4,22,0,0,0,0,0,192,142,51,15,35,9,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10310,Zack Wheeler,PHI,32,16,7,26,0,0,0,0,0,200,139,57,20,52,8,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21846,Cole Ragans,KCR,32,11,9,21,1,0,0,0,0,186.1,146,65,15,67,6,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18525,Dylan Cease,SDP,33,14,11,16,1,1,0,0,0,189.1,137,73,18,65,2,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12447,Seth Lugo,KCR,33,16,9,22,1,0,0,0,0,206.2,177,69,16,48,9,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20778,Cristopher Sanchez,PHI,31,11,9,17,2,1,0,0,0,181.2,182,67,11,44,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27463,Garrett Crochet,CHW,32,6,12,11,0,0,0,0,0,146,123,58,18,33,5,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17995,Logan Webb,SFG,33,13,10,20,1,1,0,0,0,204.2,202,79,11,50,2,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33677,Paul Skenes,PIT,23,11,3,15,0,0,0,0,0,133,94,29,10,32,6,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25436,George Kirby,SEA,33,14,11,20,0,0,0,0,0,191,181,75,22,23,7,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22250,Logan Gilbert,SEA,33,9,12,22,1,0,0,0,0,208.2,148,75,26,37,4,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19853,Michael King,SDP,31,13,9,14,0,0,0,0,0,173.2,144,57,17,63,7,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19879,Tanner Houck,BOS,30,9,10,19,1,1,0,0,0,178.2,156,62,11,48,16,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12768,Sonny Gray,STL,28,13,9,13,0,0,0,0,0,166.1,142,71,21,39,3,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22182,Hunter Greene,CIN,26,9,5,13,0,0,0,0,0,150.1,96,46,12,57,19,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14374,Tyler Glasnow,LAD,22,9,6,14,0,0,0,0,0,134,92,52,15,35,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19361,Corbin Burnes,BAL,32,15,9,22,0,0,0,0,0,194.1,165,63,22,48,2,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17295,Framber Valdez,HOU,28,15,7,17,1,0,0,0,0,176.1,140,57,13,55,6,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17277,Ranger Suarez,PHI,27,12,8,11,1,1,0,0,0,150.2,140,58,14,41,5,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12730,Nick Martinez,CIN,42,10,7,6,1,0,0,6,0,142.1,128,49,13,18,5,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18568,Luis Arraez,SDP,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,200,161,32,3,4,83,46,24,29,8,1,2,9,3
