Name,Team,QS
Zack Wheeler,PHI,26
Seth Lugo,KCR,22
Corbin Burnes,BAL,22
Logan Gilbert,SEA,22
Tarik Skubal,DET,22
José Berríos,TOR,21
Cole Ragans,KCR,21
Aaron Nola,PHI,20
Logan Webb,SFG,20
George Kirby,SEA,20
Tanner Houck,BOS,19
Hunter Brown,HOU,19
Shota Imanaga,CHC,19
Chris Sale,ATL,18
Luis Castillo,SEA,18
Pablo Lopez,MIN,18
Bailey Ober,MIN,18
Bryce Miller,SEA,18
Framber Valdez,HOU,17
Cristopher Sanchez,PHI,17
Nathan Eovaldi,TEX,16
Jameson Taillon,CHC,16
Max Fried,ATL,16
Kevin Gausman,TOR,16
Carlos Rodon,NYY,16
Dylan Cease,SDP,16
Jake Irvin,WSN,16
Miles Mikolas,STL,15
Sean Manaea,NYM,15
Jack Flaherty,2 Tms,15
Mitch Keller,PIT,15
Kutter Crawford,BOS,15
Paul Skenes,PIT,15
Michael Wacha,KCR,14
Tyler Glasnow,LAD,14
Luis Severino,NYM,14
Reynaldo Lopez,ATL,14
Ronel Blanco,HOU,14
Michael King,SDP,14
Kyle Gibson,STL,13
Sonny Gray,STL,13
Zach Eflin,2 Tms,13
Erick Fedde,2 Tms,13
Nestor Cortes,NYY,13
Joe Ryan,MIN,13
Ryan Feltner,COL,13
Hunter Greene,CIN,13
JP Sears,OAK,13
Brady Singer,KCR,13
Brandon Pfaadt,ARI,13
Charlie Morton,ATL,12
Jose Quintana,NYM,12
Chris Bassitt,TOR,12
Tyler Anderson,LAA,12
Austin Gomber,COL,12
Zac Gallen,ARI,12
Cal Quantrill,COL,12
David Peterson,NYM,12
Yusei Kikuchi,2 Tms,12
Ryne Nelson,ARI,12
Tanner Bibee,CLE,12
Spencer Schwellenbach,ATL,12
Nick Pivetta,BOS,11
Ranger Suarez,PHI,11
Justin Steele,CHC,11
Freddy Peralta,MIL,11
MacKenzie Gore,WSN,11
Grayson Rodriguez,BAL,11
Garrett Crochet,CHW,11
Mitchell Parker,WSN,11
Jared Jones,PIT,11
Joe Musgrove,SDP,10
Blake Snell,SFG,10
Chris Flexen,CHW,10
Zack Littell,TBR,10
Kyle Freeland,COL,10
Luis Gil,NYY,10
Taj Bradley,TBR,10
Brayan Bello,BOS,10
Matt Waldron,SDP,10
Gavin Stone,LAD,10
Spencer Arrighetti,HOU,10
Bryan Woo,SEA,10
Patrick Corbin,WSN,9
Marcus Stroman,NYY,9
Frankie Montas,2 Tms,9
Michael Lorenzen,2 Tms,9
Ben Lively,CLE,9
Dean Kremer,BAL,9
José Soriano,LAA,9
Reese Olson,DET,9
Ryan Pepiot,TBR,9
Kyle Harrison,SFG,9
Andrew Abbott,CIN,9
Martín Pérez,2 Tms,8
Colin Rea,MIL,8
Gerrit Cole,NYY,8
Aaron Civale,2 Tms,8
Bailey Falter,PIT,8
Shane Baz,TBR,8
Joey Estes,OAK,8
Nick Lodolo,CIN,8
Cody Bradford,TEX,8
Jack Kochanowicz,LAA,8
Lance Lynn,STL,7
Albert Suarez,BAL,7
James Paxton,2 Tms,7
Paul Blackburn,2 Tms,7
Jon Gray,TEX,7
Andrew Heaney,TEX,7
Griffin Canning,LAA,7
Bowden Francis,TOR,7
Tobias Myers,MIL,7
Ryan Weathers,MIA,7
Simeon Woods Richardson,MIN,7
Andre Pallante,STL,7
Luis L. Ortiz,PIT,7
Jonathan Cannon,CHW,7
Yoshinobu Yamamoto,LAD,7
Justin Verlander,HOU,6
Nick Martinez,CIN,6
Jordan Montgomery,ARI,6
Casey Mize,DET,6
Javier Assad,CHC,6
Randy Vasquez,SDP,6
Merrill Kelly,ARI,5
Kyle Hendricks,CHC,5
Yu Darvish,SDP,5
Edward Cabrera,MIA,5
Alec Marsh,KCR,5
Logan Allen,CLE,5
Drew Thorpe,CHW,5
Carlos Carrasco,CLE,4
Dakota Hudson,COL,4
Cole Irvin,2 Tms,4
Patrick Sandoval,LAA,4
Jesús Luzardo,MIA,4
Chris Paddack,MIN,4
Keider Montero,DET,4
Osvaldo Bido,OAK,4
Keaton Winn,SFG,4
Reid Detmers,LAA,4
Emerson Hancock,SEA,4
Mitch Spence,OAK,4
Max Scherzer,TEX,3
José Ureña,TEX,3
Matthew Boyd,CLE,3
Cristian Javier,HOU,3
Triston McKenzie,CLE,3
Walker Buehler,LAD,3
Jordan Hicks,SFG,3
Tylor Megill,NYM,3
Hogan Harris,OAK,3
Trevor Rogers,2 Tms,3
José Butto,NYM,3
Max Meyer,MIA,3
Slade Cecconi,ARI,3
Graham Ashcraft,CIN,3
Hayden Wesneski,CHC,3
Bryce Elder,ATL,3
Cade Povich,BAL,3
Christian Scott,NYM,3
Gavin Williams,CLE,3
Robbie Ray,SFG,2
Taijuan Walker,PHI,2
Aaron Brooks,OAK,2
Joe Ross,MIL,2
Ross Stripling,OAK,2
Ty Blach,COL,2
Marco Gonzales,PIT,2
Spencer Turnbull,PHI,2
John Means,BAL,2
Carson Fulmer,LAA,2
Kenta Maeda,DET,2
Dane Dunning,TEX,2
Shane Bieber,CLE,2
Clarke Schmidt,NYY,2
Bryse Wilson,MIL,2
Tyler Phillips,PHI,2
Davis Martin,CHW,2
Braxton Garrett,MIA,2
Ben Brown,CHC,2
Valente Bellozo,MIA,2
Kyle Bradish,BAL,2
Roddery Muñoz,MIA,2
Quinn Priester,2 Tms,2
DJ Herz,WSN,2
Alek Manoah,TOR,2
Bobby Miller,LAD,2
Landon Knack,LAD,2
Carson Spiers,CIN,2
Yilber Diaz,ARI,2
Robert Gasser,MIL,2
Michael McGreevy,STL,2
Julian Aguiar,CIN,2
Yariel Rodríguez,TOR,2
Clayton Kershaw,LAD,1
Alex Cobb,CLE,1
Johnny Cueto,LAA,1
Eduardo Rodriguez,ARI,1
Jakob Junis,2 Tms,1
Alex Wood,OAK,1
Elieser Hernandez,2 Tms,1
Grant Holmes,ATL,1
Trevor Williams,WSN,1
Domingo German,PIT,1
Jeffrey Springs,TBR,1
Tyler Alexander,TBR,1
Michael Soroka,CHW,1
Jake Woodford,2 Tms,1
Cody Poteet,NYY,1
Joey Lucchesi,NYM,1
Zach Plesac,LAA,1
Tyler Wells,BAL,1
Adam Oller,MIA,1
Luis Medina,OAK,1
DL Hall,MIL,1
Matthew Liberatore,STL,1
Joey Cantillo,CLE,1
Cooper Criswell,BOS,1
Brady Basso,OAK,1
Tommy Henry,ARI,1
Sam Aldegheri,LAA,1
Davis Daniel,LAA,1
Tanner Gordon,COL,1
Louie Varland,MIN,1
J.T. Ginn,OAK,1
Joe Boyle,OAK,1
Ky Bush,CHW,1
Nick Nastrini,CHW,1
Sean Burke,CHW,1
David Festa,MIN,1
Jordan Wicks,CHC,1
Caden Dana,LAA,1
Hayden Birdsong,SFG,1
Adam Mazur,SDP,1
Rhett Lowder,CIN,1
